,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,int_rates_add_2pct,new term
0,112435993,,2300,2300,2300,36 months,12.62,77.08,C,C1,Jun-17,Current,n,,credit_card,Credit card refinancing,148xx,NY,21.61,0,Sep-85,1,,,4,0,3911,55.1,6,w,14.62,48 months
1,112290210,,16000,16000,16000,60 months,12.62,360.95,C,C1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,021xx,MA,25.61,0,Jun-92,0,,,9,0,33752,105.8,26,w,14.62,60 months
2,112436985,,6025,6025,6025,36 months,15.05,209.01,C,C4,Jun-17,Current,n,,home_improvement,Home improvement,018xx,MA,8.88,0,Jun-02,0,,,11,0,12425,44.9,27,w,17.05,48 months
3,112439006,,20400,20400,20400,36 months,9.44,652.91,B,B1,Jun-17,Current,n,,car,Car financing,913xx,CA,27.06,0,Jan-07,1,,,15,0,8769,18.7,19,w,11.44,48 months
4,112438929,,13000,13000,13000,36 months,11.99,431.73,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,560xx,MN,6.79,1,Feb-02,0,16.0,,5,0,6866,88.0,24,w,13.99,48 months
5,112230200,,12000,12000,12000,36 months,9.44,384.06,B,B1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,184xx,PA,18.34,0,Aug-97,0,35.0,83.0,14,1,15025,58.2,30,w,11.44,48 months
6,112210041,,6000,6000,6000,36 months,10.42,194.79,B,B3,Jun-17,Current,n,,medical,Medical expenses,773xx,TX,30.63,0,Mar-92,0,70.0,71.0,10,1,9332,59.1,28,w,12.42,48 months
7,112360031,,12000,12000,12000,60 months,15.05,285.8,C,C4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,953xx,CA,31.43,0,Feb-06,1,,,10,0,15227,79.7,12,w,17.05,60 months
8,112038251,,11575,11575,11575,36 months,7.35,359.26,A,A4,Jun-17,Fully Paid,n,,credit_card,Credit card refinancing,923xx,CA,16.99,0,Jul-94,0,24.0,84.0,20,1,8550,22.7,46,w,9.35,36 months
9,112134207,,20400,20400,20400,60 months,7.97,413.35,A,A5,Jun-17,Current,n,,major_purchase,Major purchase,286xx,NC,11.07,0,May-87,1,40.0,,8,0,5294,8.1,21,w,9.969999999999999,60 months
